gene,gene_symbol,log2fc,fdr,direction,rank
ENSG00000188373.5,GPR15LG,-3.6312719429021776,1.3154629979524156e-41,down,269
ENSG00000198846.6,TOX,-2.6120755707317054,2.1681198793730548e-57,down,270
ENSG00000271447.6,MMP28,-3.813871505200563,1.7373845467417018e-39,down,271
ENSG00000115507.10,OTX1,4.4269865845506455,4.089525607399175e-34,up,272
ENSG00000181804.15,SLC9A9,-2.9504586054879596,1.0572358901693821e-50,down,273
ENSG00000137634.10,NXPE4,-5.093297404600476,1.1321247126466676e-29,down,274
ENSG00000204869.8,IGFL4,3.9862442020684226,1.3529907648420305e-37,up,275
ENSG00000142875.19,PRKACB,-2.927675046382257,8.138595700280579e-51,down,276
ENSG00000132514.14,CLEC10A,-3.880128758413341,1.7931785111301337e-38,down,277
ENSG00000182938.7,OTOP3,-6.042448246402644,6.260011832736102e-25,down,278
ENSG00000224650.2,IGHV3-74,-4.659486508298301,4.527055184760037e-32,down,279
ENSG00000112175.8,BMP5,-4.074912129845675,1.5371182781681565e-36,down,280
ENSG00000236081.1,ELFN1-AS1,3.939948569926123,9.662824633163343e-38,up,281
ENSG00000107562.16,CXCL12,-3.483082789847904,1.3925484652906758e-42,down,282
ENSG00000066468.23,FGFR2,-3.2852187453240056,4.8711830684431677e-45,down,283
ENSG00000213088.12,ACKR1,-3.7446461877531068,1.7497353813812265e-39,down,284
ENSG00000162461.8,SLC25A34,-4.714210282768981,1.6655295373092068e-31,down,285
ENSG00000259417.3,CTXND1,-3.3595332360755696,1.0002265514949128e-43,down,286
ENSG00000179314.14,WSCD1,-4.216830764688623,6.316263573812762e-35,down,287
ENSG00000257277.2,,-4.96423803627905,8.967749881124621e-30,down,288
ENSG00000146013.11,GFRA3,-4.147252754570474,1.8737731680273086e-35,down,289
ENSG00000224189.8,HAGLR,-3.346866398148583,9.38660386097106e-44,down,290
ENSG00000172137.19,CALB2,-3.9183748328185466,1.8139292645842041e-37,down,291
ENSG00000135298.14,ADGRB3,-4.31986149381376,5.156380130475939e-34,down,292
ENSG00000146151.14,HMGCLL1,-3.3957383084476973,7.24965047710338e-43,down,293
ENSG00000163687.14,DNASE1L3,-4.907219501064929,8.724313140388385e-30,down,294
ENSG00000226087.2,LOC105374588,-4.457697038573601,1.0916212889059164e-32,down,295
ENSG00000143196.5,DPT,-4.877042295174483,7.252940986219386e-30,down,296
ENSG00000179520.11,SLC17A8,-5.296283378429844,1.7406028703044773e-27,down,297
ENSG00000229404.6,LINC00858,4.09921831689222,2.9778660290988363e-35,up,298
ENSG00000100665.12,SERPINA4,3.42240937244398,5.922681954899509e-42,up,299
ENSG00000092421.17,SEMA6A,-3.3622028115986833,1.11252586863127e-42,down,300
ENSG00000078549.15,ADCYAP1R1,-4.964248486404363,4.221893307711276e-29,down,301
ENSG00000163347.6,CLDN1,4.127444919862602,7.547698360360456e-35,up,302
ENSG00000144619.15,CNTN4,-3.3929612586242177,3.326573935492969e-42,down,303
ENSG00000119121.22,TRPM6,-5.371183023135472,6.863768637090799e-27,down,304
ENSG00000167701.14,GPT,-4.134762094916967,1.197658287061826e-34,down,305
ENSG00000162896.6,PIGR,-3.6380342853306846,3.003836935189815e-39,down,306
ENSG00000144339.12,TMEFF2,-4.4586658516662645,3.762321912174299e-32,down,307
ENSG00000154262.13,ABCA6,-3.514134702199949,1.5095753387946385e-40,down,308
ENSG00000185149.6,NPY2R,-4.827545786439638,1.0926868118282552e-29,down,309
ENSG00000133083.15,DCLK1,-3.870712139520129,7.815168756837088e-37,down,310
ENSG00000271216.2,LINC01050,2.2505302036535393,8.436408295316368e-63,up,311
ENSG00000172005.11,MAL,-4.349052139673825,7.599603679955913e-33,down,312
ENSG00000117115.13,PADI2,-4.481589854753553,6.985979483402975e-32,down,313
ENSG00000168229.4,PTGDR,-4.107714000586059,1.0343850798114622e-34,down,314
ENSG00000151892.15,GFRA1,-4.101382963201244,9.738902577058985e-35,down,315
ENSG00000173175.15,ADCY5,-3.947786064344374,4.874776251496931e-36,down,316
ENSG00000105894.12,PTN,-3.431180709202205,2.564907968926384e-41,down,317
ENSG00000187715.13,KBTBD12,-3.1454708705213426,6.649379423533692e-45,down,318
ENSG00000029559.7,IBSP,3.293695665527532,7.869000321766755e-43,up,319
ENSG00000166816.15,LDHD,-4.017049993064335,3.4659128450866723e-35,down,320
ENSG00000287059.1,,-3.728464085552251,8.185649774959175e-38,down,321
