gene,final_score,omics_score,ml_importance_score,literature_score,pathway_score
ENSG00000239345.2,0.166558758766814,0.41639689691703496,0.0,0.0,0.0
ENSG00000271736.2,0.1665561134240196,0.416390283560049,0.0,0.0,0.0
ENSG00000197498.13,0.16651959586083154,0.4162989896520788,0.0,0.0,0.0
ENSG00000119714.11,0.16649791700619496,0.41624479251548735,0.0,0.0,0.0
ENSG00000166845.15,0.16649656385327216,0.41624140963318035,0.0,0.0,0.0
ENSG00000177051.6,0.16649009461859096,0.41622523654647736,0.0,0.0,0.0
ENSG00000168014.17,0.16645192792630648,0.41612981981576613,0.0,0.0,0.0
ENSG00000158480.11,0.16645171098973713,0.4161292774743428,0.0,0.0,0.0
ENSG00000139988.10,0.16644229458332957,0.4161057364583239,0.0,0.0,0.0
ENSG00000132286.12,0.166425420657996,0.41606355164499,0.0,0.0,0.0
ENSG00000273454.1,0.166424991975053,0.41606247993763246,0.0,0.0,0.0
ENSG00000111701.7,0.16639357509492517,0.001541678675778754,1.6577690362461366,0.0,0.0
ENSG00000272420.1,0.1663579099641237,0.4158947749103092,0.0,0.0,0.0
ENSG00000200197.1,0.16633137805883413,0.4158284451470853,0.0,0.0,0.0
ENSG00000250302.3,0.1662420041150493,0.41560501028762326,0.0,0.0,0.0
ENSG00000112312.10,0.1662303226561763,0.4155758066404407,0.0,0.0,0.0
ENSG00000183770.7,0.16613611257042385,0.4153402814260596,0.0,0.0,0.0
ENSG00000253140.2,0.1661180137416784,0.41529503435419596,0.0,0.0,0.0
ENSG00000204394.13,0.16608259660695263,0.41520649151738154,0.0,0.0,0.0
ENSG00000196810.5,0.16607307223257547,0.41518268058143865,0.0,0.0,0.0
ENSG00000171960.12,0.1660556218906547,0.4151390547266367,0.0,0.0,0.0
ENSG00000230758.1,0.16586039158153607,0.4146509789538401,0.0,0.0,0.0
ENSG00000229941.6,0.16584776853694572,0.4146194213423643,0.0,0.0,0.0
ENSG00000213735.2,0.16578777780257217,0.4144694445064304,0.0,0.0,0.0
ENSG00000145736.14,0.1657604722800096,0.41440118070002396,0.0,0.0,0.0
ENSG00000136709.12,0.16572908020568766,0.41432270051421916,0.0,0.0,0.0
ENSG00000285159.1,0.1657259917867849,0.4143149794669622,0.0,0.0,0.0
ENSG00000157764.14,0.16560424576476174,0.41401061441190434,0.0,0.0,0.0
ENSG00000267005.1,0.16559875551122452,0.4139968887780613,0.0,0.0,0.0
ENSG00000232626.3,0.16556387067755055,0.41390967669387635,0.0,0.0,0.0
ENSG00000249087.7,0.16548699452383392,0.41371748630958477,0.0,0.0,0.0
ENSG00000143376.14,0.16544599580785496,0.4136149895196374,0.0,0.0,0.0
ENSG00000227071.1,0.1653606149242133,0.41340153731053325,0.0,0.0,0.0
ENSG00000114737.16,0.16519354710071024,0.4129838677517756,0.0,0.0,0.0
ENSG00000225742.6,0.16519320490596381,0.4129830122649095,0.0,0.0,0.0
ENSG00000213214.5,0.16518018325400433,0.4129504581350108,0.0,0.0,0.0
ENSG00000257322.6,0.16512079118500733,0.41280197796251833,0.0,0.0,0.0
ENSG00000117399.14,0.1651051328114741,0.4127628320286852,0.0,0.0,0.0
ENSG00000181260.8,0.16509628907675072,0.4127407226918768,0.0,0.0,0.0
ENSG00000278864.1,0.1650741654726775,0.4126854136816937,0.0,0.0,0.0
ENSG00000267475.1,0.1649969458264252,0.412492364566063,0.0,0.0,0.0
ENSG00000285520.1,0.16499200075933362,0.41248000189833406,0.0,0.0,0.0
ENSG00000265205.1,0.16498229234560946,0.41245573086402365,0.0,0.0,0.0
ENSG00000236234.1,0.1649788515962174,0.4124471289905435,0.0,0.0,0.0
ENSG00000125124.13,0.16495945394854777,0.4123986348713694,0.0,0.0,0.0
ENSG00000286312.1,0.1649377828490371,0.4123444571225927,0.0,0.0,0.0
ENSG00000172497.9,0.1649295755826795,0.4123239389566987,0.0,0.0,0.0
ENSG00000254859.1,0.16492322052904987,0.41230805132262466,0.0,0.0,0.0
ENSG00000286186.1,0.1649116843332041,0.4122792108330102,0.0,0.0,0.0
ENSG00000126461.15,0.16490703342020988,0.4122675835505247,0.0,0.0,0.0
ENSG00000099810.21,0.16489333856220234,0.4122333464055058,0.0,0.0,0.0
ENSG00000139826.6,0.1648926201945532,0.41223155048638294,0.0,0.0,0.0
ENSG00000230299.1,0.16483804670737184,0.4120951167684296,0.0,0.0,0.0
ENSG00000259338.1,0.16481834562444642,0.412045864061116,0.0,0.0,0.0
ENSG00000216657.1,0.16479324206590004,0.41198310516475006,0.0,0.0,0.0
ENSG00000227081.5,0.1647696499281236,0.41192412482030893,0.0,0.0,0.0
ENSG00000260430.2,0.16463535435101523,0.41158838587753804,0.0,0.0,0.0
ENSG00000167840.13,0.16460861392564305,0.4115215348141076,0.0,0.0,0.0
ENSG00000167619.13,0.1645935182121484,0.411483795530371,0.0,0.0,0.0
ENSG00000273391.1,0.16456499741639938,0.4114124935409984,0.0,0.0,0.0
ENSG00000139684.15,0.1645551320413299,0.41138783010332475,0.0,0.0,0.0
ENSG00000163545.11,0.16449430272878707,0.41123575682196767,0.0,0.0,0.0
ENSG00000171202.7,0.16443531090649266,0.4110882772662316,0.0,0.0,0.0
ENSG00000235267.1,0.16442684039719738,0.41106710099299343,0.0,0.0,0.0
ENSG00000259760.1,0.16432252677998385,0.4108063169499596,0.0,0.0,0.0
ENSG00000223509.8,0.16428360923262297,0.4107090230815574,0.0,0.0,0.0
ENSG00000286732.1,0.16424718965049057,0.4106179741262264,0.0,0.0,0.0
ENSG00000173801.17,0.1642396994569073,0.41059924864226827,0.0,0.0,0.0
ENSG00000197238.5,0.16416438029923602,0.41041095074809003,0.0,0.0,0.0
ENSG00000270640.1,0.1641607358095194,0.4104018395237985,0.0,0.0,0.0
ENSG00000120265.18,0.16415550964943804,0.4103887741235951,0.0,0.0,0.0
ENSG00000253327.2,0.1641039965102702,0.4102599912756755,0.0,0.0,0.0
ENSG00000196923.14,0.1640684899497328,0.410171224874332,0.0,0.0,0.0
ENSG00000283294.1,0.16400174600166265,0.4100043650041566,0.0,0.0,0.0
ENSG00000115109.14,0.16400113339152478,0.41000283347881195,0.0,0.0,0.0
ENSG00000279591.1,0.16399585264089597,0.4099896316022399,0.0,0.0,0.0
ENSG00000121892.15,0.16395182574473743,0.4098795643618436,0.0,0.0,0.0
ENSG00000262165.2,0.1638865749068352,0.40971643726708795,0.0,0.0,0.0
ENSG00000228679.1,0.16387363492987925,0.4096840873246981,0.0,0.0,0.0
ENSG00000260428.3,0.16384225682128464,0.4096056420532116,0.0,0.0,0.0
ENSG00000185482.8,0.16370613037514367,0.40926532593785914,0.0,0.0,0.0
ENSG00000183186.8,0.16363320848803015,0.40908302122007534,0.0,0.0,0.0
ENSG00000260012.1,0.1636177659859056,0.409044414964764,0.0,0.0,0.0
ENSG00000256574.8,0.16360883675750387,0.40902209189375965,0.0,0.0,0.0
ENSG00000287074.1,0.16358094784208616,0.40895236960521536,0.0,0.0,0.0
ENSG00000143398.20,0.16355170693499965,0.40887926733749913,0.0,0.0,0.0
ENSG00000154359.13,0.16351841946684123,0.40879604866710306,0.0,0.0,0.0
ENSG00000258960.1,0.16350607426244898,0.4087651856561224,0.0,0.0,0.0
ENSG00000103222.20,0.16348463130700067,0.40871157826750165,0.0,0.0,0.0
ENSG00000152595.16,0.1634277704006436,0.408569426001609,0.0,0.0,0.0
ENSG00000122863.6,0.16341414605765536,0.40853536514413835,0.0,0.0,0.0
ENSG00000131242.18,0.16340670597061466,0.4085167649265366,0.0,0.0,0.0
ENSG00000167548.16,0.16338324773930035,0.4084581193482508,0.0,0.0,0.0
ENSG00000001497.18,0.1633783700167455,0.40844592504186367,0.0,0.0,0.0
ENSG00000218676.1,0.16331665828969108,0.40829164572422766,0.0,0.0,0.0
ENSG00000283647.1,0.16329312771353324,0.4082328192838331,0.0,0.0,0.0
ENSG00000270638.1,0.16327075988315332,0.40817689970788323,0.0,0.0,0.0
ENSG00000279467.1,0.163185757779546,0.40796439444886495,0.0,0.0,0.0
ENSG00000081870.12,0.16313670112449627,0.40784175281124063,0.0,0.0,0.0
ENSG00000235808.1,0.16313570754645568,0.4078392688661392,0.0,0.0,0.0
ENSG00000250896.1,0.16311962031416205,0.4077990507854051,0.0,0.0,0.0
ENSG00000123136.15,0.1631117584282233,0.40777939607055824,0.0,0.0,0.0
ENSG00000211820.1,0.16310677488286432,0.4077669372071608,0.0,0.0,0.0
ENSG00000283317.1,0.16309858292911877,0.4077464573227969,0.0,0.0,0.0
ENSG00000276854.1,0.16305221299363226,0.40763053248408065,0.0,0.0,0.0
ENSG00000170961.7,0.1628756187828882,0.40718904695722047,0.0,0.0,0.0
ENSG00000231940.1,0.1628587216788856,0.40714680419721394,0.0,0.0,0.0
ENSG00000144559.10,0.16278742777782473,0.40696856944456183,0.0,0.0,0.0
ENSG00000117425.14,0.1627842915412234,0.40696072885305845,0.0,0.0,0.0
ENSG00000267370.1,0.1627674048299529,0.40691851207488217,0.0,0.0,0.0
ENSG00000161847.14,0.1627530835204156,0.40688270880103894,0.0,0.0,0.0
ENSG00000142185.16,0.162619696626747,0.40654924156686745,0.0,0.0,0.0
ENSG00000259871.1,0.1626192324509152,0.40654808112728796,0.0,0.0,0.0
ENSG00000223478.1,0.16259045862677535,0.4064761465669383,0.0,0.0,0.0
ENSG00000258851.1,0.16254876746846542,0.4063719186711635,0.0,0.0,0.0
ENSG00000002549.12,0.1625249936825766,0.4063124842064415,0.0,0.0,0.0
ENSG00000225356.3,0.16250756519300355,0.40626891298250883,0.0,0.0,0.0
ENSG00000266521.1,0.16249770578845427,0.40624426447113565,0.0,0.0,0.0
ENSG00000228061.7,0.16247184899694814,0.40617962249237033,0.0,0.0,0.0
ENSG00000172057.10,0.1624665065517519,0.40616626637937975,0.0,0.0,0.0
ENSG00000230333.6,0.16242553656931055,0.40606384142327634,0.0,0.0,0.0
ENSG00000163754.18,0.1623990573147322,0.40599764328683047,0.0,0.0,0.0
ENSG00000117448.14,0.16228854460486392,0.40572136151215976,0.0,0.0,0.0
ENSG00000114354.15,0.16228301443449292,0.4057075360862323,0.0,0.0,0.0
ENSG00000139445.18,0.1622748706252197,0.4056871765630492,0.0,0.0,0.0
ENSG00000227355.3,0.16225961112850487,0.40564902782126216,0.0,0.0,0.0
ENSG00000249987.1,0.16224989198017165,0.4056247299504291,0.0,0.0,0.0
ENSG00000222001.2,0.16217156502010222,0.40542891255025554,0.0,0.0,0.0
ENSG00000253966.1,0.1621683917025306,0.40542097925632653,0.0,0.0,0.0
ENSG00000041357.16,0.16213870547062478,0.4053467636765619,0.0,0.0,0.0
ENSG00000227203.3,0.1620494912907564,0.40512372822689097,0.0,0.0,0.0
ENSG00000268088.1,0.16204320093365854,0.40510800233414634,0.0,0.0,0.0
ENSG00000172058.16,0.16195723208216087,0.40489308020540216,0.0,0.0,0.0
ENSG00000178342.4,0.16193938579226785,0.40484846448066963,0.0,0.0,0.0
ENSG00000277459.1,0.1617585945514553,0.40439648637863823,0.0,0.0,0.0
ENSG00000126903.16,0.16175342859445319,0.40438357148613296,0.0,0.0,0.0
ENSG00000224287.2,0.16174703091275783,0.40436757728189454,0.0,0.0,0.0
ENSG00000173113.7,0.16173447893319884,0.4043361973329971,0.0,0.0,0.0
ENSG00000120549.18,0.16171988828994577,0.4042997207248644,0.0,0.0,0.0
ENSG00000265096.2,0.16168889530437142,0.4042222382609285,0.0,0.0,0.0
ENSG00000008086.13,0.1616472602777049,0.4041181506942622,0.0,0.0,0.0
ENSG00000124444.16,0.16164402091928642,0.404110052298216,0.0,0.0,0.0
ENSG00000224773.2,0.16163570091186896,0.4040892522796724,0.0,0.0,0.0
ENSG00000243629.2,0.16161206692280872,0.40403016730702174,0.0,0.0,0.0
ENSG00000176728.10,0.1616101942907106,0.4040254857267765,0.0,0.0,0.0
ENSG00000153060.8,0.1615581541918012,0.40389538547950293,0.0,0.0,0.0
ENSG00000249986.1,0.16145949421153738,0.4036487355288434,0.0,0.0,0.0
ENSG00000168818.10,0.1614390334503947,0.40359758362598674,0.0,0.0,0.0
ENSG00000225096.3,0.16143687198987247,0.40359217997468116,0.0,0.0,0.0
ENSG00000146247.14,0.1614168076037641,0.4035420190094102,0.0,0.0,0.0
ENSG00000248705.1,0.16137783321772356,0.40344458304430886,0.0,0.0,0.0
ENSG00000118181.11,0.1613746823588707,0.40343670589717673,0.0,0.0,0.0
ENSG00000144959.11,0.16134274503029405,0.4033568625757351,0.0,0.0,0.0
ENSG00000178814.17,0.16134092939811476,0.4033523234952869,0.0,0.0,0.0
ENSG00000254197.1,0.16130185890953275,0.40325464727383187,0.0,0.0,0.0
ENSG00000253921.1,0.16127853638270745,0.4031963409567686,0.0,0.0,0.0
ENSG00000228933.8,0.16125189157959918,0.40312972894899796,0.0,0.0,0.0
ENSG00000287670.1,0.16123152546947844,0.4030788136736961,0.0,0.0,0.0
ENSG00000253671.3,0.16121100661528048,0.4030275165382012,0.0,0.0,0.0
ENSG00000152193.8,0.1610884144192236,0.402721036048059,0.0,0.0,0.0
ENSG00000279474.1,0.16108689118900368,0.4027172279725092,0.0,0.0,0.0
