gene,shap_importance,feature_rank
ENSG00000172260.15,0.000371459926120511,281
ENSG00000150471.16,0.00037059174225709474,282
ENSG00000151012.13,0.00036832607346207256,283
ENSG00000226476.6,0.00036470755630912293,284
ENSG00000174015.10,0.00036260549642161166,285
ENSG00000132465.12,0.00036204754103633986,286
ENSG00000154975.14,0.0003583289920629043,287
ENSG00000151388.11,0.0003568535803056699,288
ENSG00000117115.13,0.00035529609701021557,289
ENSG00000166391.15,0.0003543967628489263,290
ENSG00000111863.13,0.000353392211694341,291
ENSG00000158055.16,0.0003502200054251609,292
ENSG00000092051.17,0.0003480744876639549,293
ENSG00000166920.13,0.0003427223665089031,294
ENSG00000213468.7,0.00034238015403629304,295
ENSG00000064787.13,0.0003422396818912894,296
ENSG00000092421.17,0.00034081973834677973,297
ENSG00000105696.9,0.00034004550618232937,298
ENSG00000196335.13,0.00033958367139409615,299
ENSG00000099866.15,0.0003372831043067934,300
ENSG00000182050.13,0.0003353029297853466,301
ENSG00000135406.14,0.00033481128723469915,302
ENSG00000101098.13,0.00033320636586060766,303
ENSG00000073737.17,0.00033255504296283826,304
ENSG00000101605.13,0.0003278859652778008,305
ENSG00000011201.12,0.0003255185210220926,306
ENSG00000078098.14,0.0003240239453067,307
ENSG00000170382.12,0.00032289868463370564,308
ENSG00000162761.14,0.00032034440034906805,309
ENSG00000144063.4,0.0003181052167149553,310
ENSG00000259087.5,0.0003127555232131147,311
ENSG00000287059.1,0.00031210997489773066,312
ENSG00000154721.15,0.0003105691836759943,313
ENSG00000065320.9,0.000308974750290161,314
ENSG00000101938.15,0.00030888071274440753,315
ENSG00000214039.9,0.0003076774391715382,316
ENSG00000125144.14,0.00030765204891610847,317
ENSG00000258987.2,0.0003047065622138573,318
ENSG00000253438.4,0.0002989944104241621,319
ENSG00000137699.17,0.0002989887515649674,320
ENSG00000104415.14,0.0002986263781698789,321
ENSG00000204136.11,0.00029858021571330584,322
ENSG00000269667.2,0.0002959086631101614,323
ENSG00000197587.11,0.0002953362341130018,324
ENSG00000182103.5,0.000294420623503052,325
ENSG00000256518.3,0.00029359498379954833,326
ENSG00000129451.12,0.00029271578668146127,327
ENSG00000168903.9,0.0002910483695307614,328
ENSG00000137745.12,0.00029006649676558414,329
ENSG00000170369.4,0.00028977876790339536,330
ENSG00000170703.15,0.0002891492167422245,331
ENSG00000229404.6,0.0002876586465159744,332
ENSG00000136546.16,0.00028632073490992784,333
ENSG00000262772.2,0.00028474990678565947,334
ENSG00000104371.5,0.0002833251282071308,335
ENSG00000005001.10,0.0002804874724170596,336
ENSG00000262585.1,0.0002793229735651975,337
ENSG00000113396.13,0.0002788884429960699,338
ENSG00000184144.12,0.00027551820606988656,339
ENSG00000183134.5,0.00027508527757676593,340
ENSG00000183248.12,0.00027159201506138456,341
ENSG00000005249.13,0.0002702538024848603,342
ENSG00000251026.2,0.00027019594125333437,343
ENSG00000142875.19,0.00027010745139777626,344
ENSG00000101441.4,0.0002650006845471877,345
ENSG00000189292.16,0.0002641900122114457,346
ENSG00000144648.16,0.00026322992781850787,347
ENSG00000112936.19,0.00026319153865367935,348
ENSG00000287828.1,0.0002563789214502864,349
ENSG00000111981.5,0.0002552933374475395,350
ENSG00000104237.11,0.000254218897680332,351
ENSG00000255650.6,0.00025402512859762393,352
ENSG00000144191.12,0.00025314509012588704,353
ENSG00000249550.7,0.00025268974621853966,354
ENSG00000160801.14,0.0002520430510581039,355
ENSG00000211890.4,0.00024835817149896597,356
ENSG00000250722.6,0.00024502996196410924,357
ENSG00000176641.11,0.00024487208055944473,358
ENSG00000108821.14,0.0002444382481719257,359
ENSG00000138028.16,0.00024076856676228452,360
ENSG00000120875.9,0.00024003976474845683,361
ENSG00000099834.19,0.00023993729566132416,362
ENSG00000022267.19,0.00023631254467044316,363
ENSG00000198125.13,0.00023381462226122648,364
ENSG00000100867.15,0.00023331905841042649,365
ENSG00000286848.1,0.00023309815773429643,366
ENSG00000184292.7,0.00023096576096727037,367
ENSG00000029559.7,0.00023078127166625449,368
ENSG00000147883.12,0.00023041375971940073,369
ENSG00000236452.1,0.00022959754559499792,370
ENSG00000172159.16,0.0002295570599163738,371
ENSG00000171819.5,0.00022826947656300072,372
ENSG00000018236.15,0.00022825640462251323,373
ENSG00000183914.14,0.0002274528539192986,374
ENSG00000128482.16,0.00022665632560657116,375
ENSG00000179546.4,0.00022522093074192983,376
ENSG00000145384.4,0.00022463733119403503,377
ENSG00000117472.10,0.00022371243502453727,378
ENSG00000197766.8,0.00022296546662695769,379
ENSG00000173391.9,0.00022254679225154264,380
ENSG00000082293.13,0.00022247766435547117,381
ENSG00000165816.13,0.00022241972200745443,382
ENSG00000156284.6,0.00022194192269126968,383
ENSG00000168229.4,0.00022128591016385235,384
ENSG00000165188.13,0.00022100950270318817,385
ENSG00000128040.11,0.00021901174013601326,386
ENSG00000095752.7,0.00021690654001531878,387
ENSG00000100625.9,0.00021664378759005665,388
ENSG00000138615.6,0.00021663653260731486,389
ENSG00000122585.8,0.00021623145906159364,390
ENSG00000198624.13,0.00021550980026183633,391
ENSG00000253414.3,0.0002150748201189172,392
ENSG00000249948.6,0.00021479852199081221,393
ENSG00000185479.6,0.00021459090155113154,394
